City_ID,City,Lat,Lng,Current Weather,Weather Description,Feels Like,Temp,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
564,Kargasok,59.0556,80.8572,Clouds,broken clouds,-28.14,-17.27,-17.27,100,81,3.69,2023-02-08,RU
565,Kudahuvadhoo,2.6708,72.8944,Clouds,overcast clouds,85.33,81.3,81.3,71,91,11.32,2023-02-08,MV
566,Scarborough,54.2797,-0.4044,Clouds,broken clouds,38.37,43.11,44.91,64,62,8.01,2023-02-08,GB
567,Maamba,-17.3667,27.15,Rain,light rain,73.92,73.02,73.02,83,10,3.89,2023-02-08,ZM
568,Scicli,36.7902,14.7014,Rain,light rain,37.33,45.95,45.95,76,100,25.08,2023-02-08,IT
569,Erzin,36.9559,36.2,Clear,clear sky,29.7,35.19,35.19,53,5,6.46,2023-02-08,TR
570,Belaya Gora,68.5333,146.4167,Clouds,overcast clouds,-54.47,-41.87,-41.87,99,100,3.44,2023-02-08,RU
571,Leshukonskoye,64.8989,45.7622,Clouds,scattered clouds,13.48,22.26,22.26,93,43,7.36,2023-02-08,RU
572,Vestmanna,62.1564,-7.1664,Rain,light rain,25.74,36.52,36.52,65,75,20.71,2023-02-08,FO
573,Buchanan,5.8808,-10.0467,Clouds,overcast clouds,87.71,82.29,82.29,73,98,6.15,2023-02-08,LR
574,Chapleau,47.8405,-83.4034,Clear,clear sky,22.03,30.29,30.29,74,0,9.22,2023-02-08,CA
575,Chicama,-7.8447,-79.1469,Clouds,broken clouds,73.71,73.94,73.94,57,63,9.22,2023-02-08,PE
576,Collie,-33.3667,116.15,Clear,clear sky,58.66,59.11,59.11,84,0,7.02,2023-02-08,AU
577,Selenduma,50.9131,106.2406,Clouds,broken clouds,-13.18,-13.18,-13.18,100,65,1.77,2023-02-08,RU
578,Chauk,20.8833,94.8167,Clear,clear sky,69.26,70.95,70.95,32,0,2.24,2023-02-08,MM
579,Yoichi,43.2039,140.7703,Clouds,overcast clouds,11.55,24.15,24.15,65,100,21.3,2023-02-08,JP
580,Hudiksvall,61.729,17.1036,Clouds,broken clouds,31.73,40.41,40.41,77,78,17.18,2023-02-08,SE
581,Snezhnogorsk,69.1933,33.2531,Clouds,overcast clouds,24.19,36.79,37.18,72,100,33.35,2023-02-08,RU
582,Olden,61.8364,6.8064,Clouds,overcast clouds,40.69,47.14,47.14,89,100,16.15,2023-02-08,NO
584,Red Deer,52.2668,-113.802,Clouds,scattered clouds,18.84,27.1,27.79,86,40,8.05,2023-02-08,CA
585,Piacabucu,-10.4056,-36.4344,Clouds,broken clouds,86.02,84.51,84.51,51,70,11.18,2023-02-08,BR
587,Cidreira,-30.1811,-50.2056,Clear,clear sky,83.82,80.71,80.71,68,1,13.53,2023-02-08,BR
